Questions,Type,Answers,CorrectAns
Η Μαρία έχει 19 κάρτες και ο Μιχάλης 7. Για να έχει η Μαρία τον ίδιο αριθμό καρτών θα πρέπει να αφήσει 12 κάρτες κάτω.,1,"[""Σ"" , ""Λ""]",2
Μία παρέα 5 ατόμων μάζεψαν 65 κοχύλια και θέλουν να τα μοιραστούν εξίσου. Άρα το κάθε παιδί θα πάρει 13 κοχύλια.,1,"[""Σ"" , ""Λ""]",1
"Οι βαθμοί ενός μαθητή σε 6 μαθήματα ήταν 7,10,7,8,7,9. Ο μέσος όρος του θα είναι 8.",1,"[""Σ"" , ""Λ""]",1
"Πως λέγεται η πράξη που πραγματοποιείται με το σύμβολο ""x"";",2,"[""Γινόμενο"",""Πολλαπλασιασμός"",""Η πράξη με το «x»"",""Μέθοδος των τριών""]",2
"Πως γράφεται η πράξη που πραγματοποιείται με το σύμβολο ""x"";",2,"[""Πολαπλασιασμός"",""Πολλαπλασσιασμός"",""Πολλαπλασιασμός"",""Πολλαπλασειασμός""]",3
Ποιο είναι το αποτέλεσμα της πράξης 6x34;,2,"[""200"",""204"",""198"",""104""]",2
Ποιο είναι το αποτέλεσμα της πράξης 48 ÷ 6;,3,"["" 8,0"",""Δεν το έχουμε μάθει."","" 8"",""Δεν έχει υπόλοιπο.""]","1, 3, 4"
"Ποια είναι τα πιθανά σύμβολα της διαίρεσης και του πολλαπλασιασμού, αντίστοιχα;",3,"[""÷ και x"",""/ και ."",""÷ και "","" / και *""]","1, 4"
Ποιοι είναι οι διαιρέτες του 36;,3,"[""1 και 2"","" 6 και 9"",""18 και 8"",""4 και 10""]","1, 2"
,4,,
,4,,
,4,,
Να αντιστοιχίσετε κάθε στοιχείο της στήλης Α με ένα στοιχείο της στήλης Β:,5,"[[""Πυθαγόρειο"",""addition""],[""Πρόσθεση"",""subtraction""],[""Αφαίρεση"",""Θεώρημα""]]","[[2],[1],[],[3]]"
Να αντιστοιχίσετε κάθε στοιχείο της στήλης Α με ένα στοιχείο της στήλης Β:,5,,
Να αντιστοιχίσετε κάθε στοιχείο της στήλης Α με ένα στοιχείο της στήλης Β:,5,,
,6,,
,6,,
,6,,
